"File","Property","Line"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuButton.cs","Visible","93"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuGroup.cs","GetLabel","53"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuGroup.cs","Id","25"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuGroup.cs","ItemSize","60"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuGroup.cs","Label","46"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuGroup.cs","QualifiedId","32"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuGroup.cs","Tag","39"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuToggleButton.cs","Description","37"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuToggleButton.cs","Enabled","86"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuToggleButton.cs","GetDescription","44"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuToggleButton.cs","GetEnabled","93"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuToggleButton.cs","GetImage","30"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuToggleButton.cs","GetKeytip","135"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuToggleButton.cs","GetLabel","107"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuToggleButton.cs","GetPressed","79"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuToggleButton.cs","GetVisible","121"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuToggleButton.cs","Id","51"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuToggleButton.cs","Image","16"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuToggleButton.cs","ImageMso","23"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuToggleButton.cs","Keytip","128"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuToggleButton.cs","Label","100"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuToggleButton.cs","OnAction","72"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuToggleButton.cs","QualifiedId","58"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuToggleButton.cs","Tag","65"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageMenuToggleButton.cs","Visible","114"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstagePrimaryMenu.cs","Enabled","71"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstagePrimaryMenu.cs","GetEnabled","78"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstagePrimaryMenu.cs","GetImage","127"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstagePrimaryMenu.cs","GetKeytip","141"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstagePrimaryMenu.cs","GetLabel","92"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstagePrimaryMenu.cs","GetScreentip","29"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstagePrimaryMenu.cs","GetSupertip","43"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstagePrimaryMenu.cs","GetVisible","106"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstagePrimaryMenu.cs","Id","50"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstagePrimaryMenu.cs","Image","113"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstagePrimaryMenu.cs","ImageMso","120"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstagePrimaryMenu.cs","Keytip","134"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstagePrimaryMenu.cs","Label","85"
